uuid,name,url,system
LogOutButton@kyle.aims.ac.za,Log Out Button,,false
caffeine@patapon.info,Caffeine,https://github.com/eonpatapon/gnome-shell-extension-caffeine,false
datetime-format@Daniel-Khodabakhsh.github.com,Datetime Format,https://github.com/Daniel-Khodabakhsh/datetime-format,false
drive-menu@gnome-shell-extensions.gcampax.github.com,Removable Drive Menu,http://git.gnome.org/gnome-shell-extensions,true
radio@hslbck.gmail.com,Internet Radio,https://github.com/hslbck/gnome-shell-extension-radio,false
refresh-wifi@kgshank.net,Refresh Wifi Connections,https://github.com/kgshank/gse-refresh-wifi,false
sound-output-device-chooser@kgshank.net,Sound Input & Output Device Chooser,https://github.com/kgshank/gse-sound-output-device-chooser,false
suspend-button@laserb,Suspend Button,https://github.com/laserb/gnome-shell-extension-suspend-button,false
taskwhisperer-extension@infinicode.de,TaskWhisperer,https://github.com/cinatic/taskwhisperer,false
world_clock_lite@ailin.nemui,Panel World Clock (Lite),,false
